parameter,value,backbone,dataset,horizon,mse,mae,latency_ms
rank,1.0,DLinear,ETTh1,96,0.4452764093875885,0.4497738182544708,2217.371099999582
rank,2.0,DLinear,ETTh1,96,0.4457920789718628,0.45029163360595703,2004.0872000026866
rank,4.0,DLinear,ETTh1,96,0.44580578804016113,0.45028573274612427,1975.0000999993063
rank,8.0,DLinear,ETTh1,96,0.4458043873310089,0.4502864181995392,1900.954400000046
template_decay,0.8,DLinear,ETTh1,96,0.44867369532585144,0.4519834816455841,1955.7929999937187
template_decay,0.9,DLinear,ETTh1,96,0.4463176131248474,0.4505641758441925,2210.364300000947
template_decay,0.92,DLinear,ETTh1,96,0.44580578804016113,0.45028573274612427,2209.067600000708
template_decay,0.96,DLinear,ETTh1,96,0.4446525573730469,0.44984814524650574,2229.2025000060676
global_mix,0.25,DLinear,ETTh1,96,0.44394397735595703,0.451285183429718,2243.5153999977047
global_mix,0.5,DLinear,ETTh1,96,0.44193318486213684,0.44940561056137085,2275.389800000994
global_mix,0.75,DLinear,ETTh1,96,0.44580578804016113,0.45028573274612427,2287.963300004776
global_mix,1.0,DLinear,ETTh1,96,0.45556074380874634,0.45370233058929443,2279.6997999976156
local_alpha,0.1,DLinear,ETTh1,96,0.5062432885169983,0.48565390706062317,2197.2706000015023
local_alpha,0.5,DLinear,ETTh1,96,0.44580578804016113,0.45028573274612427,2191.2238000004436
local_alpha,1.0,DLinear,ETTh1,96,0.4452707767486572,0.4496752917766571,2295.9809999956633
local_alpha,2.0,DLinear,ETTh1,96,0.45032283663749695,0.4532981514930725,2331.458400003612
clip_value,0.5,DLinear,ETTh1,96,0.44520992040634155,0.4501980245113373,2247.194200004742
clip_value,1.0,DLinear,ETTh1,96,0.44629889726638794,0.4510214924812317,2266.2383999995654
clip_value,2.5,DLinear,ETTh1,96,0.44580578804016113,0.45028573274612427,2207.4293000041507
clip_value,5.0,DLinear,ETTh1,96,0.4459758698940277,0.45040202140808105,2232.935699998052
