dataset,backbone,horizon,method,mse,avg_imp_pct,source,verified_or_official
ETTh1,MICN,96,GTTD,0.4552,9.200718255114715,estimated_placeholder_from_table,False
ETTh1,MICN,192,GTTD,0.5489,9.200718255114715,estimated_placeholder_from_table,False
ETTh1,MICN,336,GTTD,0.602,9.200718255114715,estimated_placeholder_from_table,False
ETTh2,MICN,96,GTTD,0.1935,14.649638899742309,estimated_placeholder_from_table,False
ETTh2,MICN,192,GTTD,0.291,14.649638899742309,estimated_placeholder_from_table,False
ETTh2,MICN,336,GTTD,0.345,14.649638899742309,estimated_placeholder_from_table,False
ETTm1,MICN,96,GTTD,0.348,14.283035720303351,estimated_placeholder_from_table,False
ETTm1,MICN,192,GTTD,0.4305,14.283035720303351,estimated_placeholder_from_table,False
ETTm1,MICN,336,GTTD,0.492,14.283035720303351,estimated_placeholder_from_table,False
ETTm2,MICN,96,GTTD,0.123,16.955621681815135,estimated_placeholder_from_table,False
ETTm2,MICN,192,GTTD,0.178,16.955621681815135,estimated_placeholder_from_table,False
ETTm2,MICN,336,GTTD,0.236,16.955621681815135,estimated_placeholder_from_table,False
Exchange,MICN,96,GTTD,0.0805,30.30483703913804,estimated_placeholder_from_table,False
Exchange,MICN,192,GTTD,0.162,30.30483703913804,estimated_placeholder_from_table,False
Exchange,MICN,336,GTTD,0.252,30.30483703913804,estimated_placeholder_from_table,False
Weather,MICN,96,GTTD,0.132,15.320664742969406,estimated_placeholder_from_table,False
Weather,MICN,192,GTTD,0.191,15.320664742969406,estimated_placeholder_from_table,False
Weather,MICN,336,GTTD,0.263,15.320664742969406,estimated_placeholder_from_table,False
