dataset,backbone,horizon,method,mse,avg_imp_pct,source,verified_or_official
ETTh1,PatchTST,96,GTTD,0.4105,2.775132540923237,local_gttd_csv,True
ETTh1,PatchTST,192,GTTD,0.4857,2.775132540923237,local_gttd_csv,True
ETTh1,PatchTST,336,GTTD,0.5473,2.775132540923237,local_gttd_csv,True
ETTh2,PatchTST,96,GTTD,0.1745,11.64844957117067,local_gttd_csv,True
ETTh2,PatchTST,192,GTTD,0.2574,11.64844957117067,local_gttd_csv,True
ETTh2,PatchTST,336,GTTD,0.3202,11.64844957117067,local_gttd_csv,True
ETTm1,PatchTST,96,GTTD,0.3105,14.335335406998997,local_gttd_csv,True
ETTm1,PatchTST,192,GTTD,0.3959,14.335335406998997,local_gttd_csv,True
ETTm1,PatchTST,336,GTTD,0.4679,14.335335406998997,local_gttd_csv,True
ETTm2,PatchTST,96,GTTD,0.1129,17.21661348993289,local_gttd_csv,True
ETTm2,PatchTST,192,GTTD,0.1721,17.21661348993289,local_gttd_csv,True
ETTm2,PatchTST,336,GTTD,0.2298,17.21661348993289,local_gttd_csv,True
Exchange,PatchTST,96,GTTD,0.0581,24.091997280465414,local_gttd_csv,True
Exchange,PatchTST,192,GTTD,0.1427,24.091997280465414,local_gttd_csv,True
Exchange,PatchTST,336,GTTD,0.287,24.091997280465414,local_gttd_csv,True
Weather,PatchTST,96,GTTD,0.129,15.826025734640371,estimated_placeholder_from_table,False
Weather,PatchTST,192,GTTD,0.187,15.826025734640371,estimated_placeholder_from_table,False
Weather,PatchTST,336,GTTD,0.258,15.826025734640371,estimated_placeholder_from_table,False
