dataset,backbone,horizon,method,mse,avg_imp_pct,source,verified_or_official
ETTh1,DLinear,96,GTTD,0.4458,1.8752872984826288,local_gttd_csv,True
ETTh1,DLinear,192,GTTD,0.5158,1.8752872984826288,local_gttd_csv,True
ETTh1,DLinear,336,GTTD,0.5686,1.8752872984826288,local_gttd_csv,True
ETTh2,DLinear,96,GTTD,0.1734,11.184108412829085,local_gttd_csv,True
ETTh2,DLinear,192,GTTD,0.2667,11.184108412829085,local_gttd_csv,True
ETTh2,DLinear,336,GTTD,0.3207,11.184108412829085,local_gttd_csv,True
ETTm1,DLinear,96,GTTD,0.2968,12.49869264072365,local_gttd_csv,True
ETTm1,DLinear,192,GTTD,0.396,12.49869264072365,local_gttd_csv,True
ETTm1,DLinear,336,GTTD,0.484,12.49869264072365,local_gttd_csv,True
ETTm2,DLinear,96,GTTD,0.1145,17.71238614333809,local_gttd_csv,True
ETTm2,DLinear,192,GTTD,0.1616,17.71238614333809,local_gttd_csv,True
ETTm2,DLinear,336,GTTD,0.2126,17.71238614333809,local_gttd_csv,True
Exchange,DLinear,96,GTTD,0.0607,22.497004607442086,local_gttd_csv,True
Exchange,DLinear,192,GTTD,0.1475,22.497004607442086,local_gttd_csv,True
Exchange,DLinear,336,GTTD,0.2795,22.497004607442086,local_gttd_csv,True
Weather,DLinear,96,GTTD,0.1446,15.464626548169166,local_gttd_csv,True
Weather,DLinear,192,GTTD,0.2057,15.464626548169166,local_gttd_csv,True
Weather,DLinear,336,GTTD,0.2743,15.464626548169166,local_gttd_csv,True
